city,postal_code,country
Zagreb,10000,HR
Zagreb-Sloboština,10010,HR
Zagreb-Novi Zagreb,10020,HR
Zagreb-Dubrava,10040,HR
Zagreb-Susedgrad,10090,HR
Lučko,10250,HR
Hrvatski Leskovac,10251,HR
Donji Dragonožec,10253,HR
Gornji Stupnik,10255,HR
Brezovica,10257,HR
Zaprešić,10290,HR
Prigorje Brdovečko,10291,HR
Šenkovec,10292,HR
Dubravica,10293,HR
Donja Pušća,10294,HR
Kupljenovo,10295,HR
Luka,10296,HR
Jakovlje,10297,HR
Donja Bistra,10298,HR
Marija Gorica,10299,HR
Ivanić-Grad,10310,HR
Posavski Bregi,10311,HR
Kloštar Ivanić,10312,HR
Graberje Ivaničko,10313,HR
Križ,10314,HR
Novoselec,10315,HR
Lijevi Dubrovčak,10316,HR
Vrbovec,10340,HR
Lonjica,10341,HR
Dubrava,10342,HR
Nova Kapela,10343,HR
Farkaševac,10344,HR
Gradec,10345,HR
Preseka,10346,HR
Rakovec,10347,HR
Sesvete,10360,HR
Sesvete-Kraljevec,10361,HR
Kašina,10362,HR
Belovar,10363,HR
Dugo Selo,10370,HR
Oborovo,10372,HR
Ivanja Reka,10373,HR
Sveti Ivan Zelina,10380,HR
Bedenica,10381,HR
Donja Zelina,10382,HR
Komin,10383,HR
Velika Mlaka,10408,HR
Velika Gorica,10410,HR
Orle,10411,HR
Donja Lomnica,10412,HR
Kravarsko,10413,HR
Pokupsko,10414,HR
Novo Čiče,10415,HR
Buševec,10417,HR
Dubranec,10418,HR
Vukovina,10419,HR
Samobor,10430,HR
Sveta Nedjelja,10431,HR
Bregana,10432,HR
Strmec Samoborski,10434,HR
Sveti Martin pod Okićem,10435,HR
Rakov Potok,10436,HR
Bestovje,10437,HR
Jastrebarsko,10450,HR
Pisarovina,10451,HR
Gorica Svetojanska,10453,HR
Krašić,10454,HR
Kostanjevac,10455,HR
Kalje,10456,HR
Sošice,10457,HR
Dubrovnik,20000,HR
Topolo,20205,HR
Mlini,20207,HR
Cavtat,20210,HR
Čilipi,20213,HR
Gruda,20215,HR
Dubravka,20216,HR
Pridvorje,20217,HR
Pločice,20218,HR
Koločep,20221,HR
Lopud,20222,HR
Šipanjska Luka,20223,HR
Maranovići,20224,HR
Babino Polje,20225,HR
Goveđari,20226,HR
Ston,20230,HR
Doli,20231,HR
Slano,20232,HR
Trsteno,20233,HR
Orašac,20234,HR
Zaton Veliki,20235,HR
Mokošica,20236,HR
Trpanj,20240,HR
Oskorušno,20242,HR
Kuna,20243,HR
Potomje,20244,HR
Trstenik,20245,HR
Janjina,20246,HR
Žuljana,20247,HR
Putniković,20248,HR
Orebić,20250,HR
Korčula,20260,HR
Lumbarda,20263,HR
Račišće,20264,HR
Kućište,20267,HR
Lovište,20269,HR
Vela Luka,20270,HR
Blato,20271,HR
Smokvica,20272,HR
Čara,20273,HR
Pupnat,20274,HR
Žrnovo,20275,HR
Nova Sela,20278,HR
Lastovo,20290,HR
Ploče,20340,HR
Kula Norinska,20341,HR
Otrić Seoci,20342,HR
Rogotin,20343,HR
Komin (Dalmacija),20344,HR
Staševica,20345,HR
Metković,20350,HR
Vid,20352,HR
Mlinište,20353,HR
Opuzen,20355,HR
Klek,20356,HR
Blace,20357,HR
Split,21000,HR
Prgomet,21201,HR
Lećevica,21202,HR
Donji Muć,21203,HR
Dugopolje,21204,HR
Donji Dolac,21205,HR
Donje Ogorje,21206,HR
Kostanje,21207,HR
Kučiće,21208,HR
Mravince,21209,HR
Solin,21210,HR
Kaštel Sućurac,21212,HR
Kaštel Gomilica,21213,HR
Kaštel Kambelovac,21214,HR
Kaštel Lukšić,21215,HR
Kaštel Stari,21216,HR
Seget Donji,21218,HR
Trogir,21220,HR
Marina,21222,HR
Okrug Gornji,21223,HR
Slatine,21224,HR
Drvenik Veliki,21225,HR
Vinišće,21226,HR
Primorski Dolac,21227,HR
Blizna Donja,21228,HR
Crivac,21229,HR
Sinj,21230,HR
Klis,21231,HR
Dicmo,21232,HR
Hrvace,21233,HR
Otišić,21235,HR
Vrlika,21236,HR
Otok (Dalmacija),21238,HR
Trilj,21240,HR
Obrovac Sinjski,21241,HR
Grab,21242,HR
Ugljane,21243,HR
Cista Velika,21244,HR
Tijarica,21245,HR
Aržano,21246,HR
Neorić,21247,HR
Šestanovac,21250,HR
Žrnovnica,21251,HR
Tugare,21252,HR
Gata,21253,HR
Blato na Cetini,21254,HR
Zadvarje,21255,HR
Cista Provo,21256,HR
Lovreć,21257,HR
Imotski,21260,HR
Runović,21261,HR
Kamenmost,21262,HR
Krivodol,21263,HR
Donji Proložac,21264,HR
Studenci,21265,HR
Zmijavci,21266,HR
Ričice,21267,HR
Zagvozd,21270,HR
Grabovac,21271,HR
Slivno,21272,HR
Župa,21273,HR
Dragljane,21275,HR
Vrgorac,21276,HR
Veliki Prolog,21277,HR
Srinjine,21292,HR
Makarska,21300,HR
Omiš,21310,HR
Stobreč,21311,HR
Podstrana,21312,HR
Jesenice,21314,HR
Dugi Rat,21315,HR
Lokva Rogoznica,21317,HR
Mimice,21318,HR
Baška Voda,21320,HR
Brela,21322,HR
Tučepi,21325,HR
Podgora,21327,HR
